pharmaid,atc,month,year,maxprice,ddd,inprice,generic,dddperpack,price
996,C09DA06,8,2005,408.399993896,3728.0,270.540008545,0,50.0,408.400011063
996,C09DA06,9,2005,408.399993896,4300.0,270.540008545,0,50.0,408.400011063
996,C09DA06,10,2005,408.399993896,4550.0,270.540008545,0,50.0,408.400011063
996,C09DA06,11,2005,408.399993896,3302.0,270.540008545,0,50.0,408.400011063
996,C09DA06,12,2005,408.399993896,5700.0,270.540008545,0,50.0,408.400011063
996,C09DA06,1,2006,408.399993896,2900.0,270.540008545,0,50.0,408.400011063
996,C09DA06,2,2006,403.986846924,4550.0,264.279998779,0,50.0,408.389472962
996,C09DA06,3,2006,382.600006104,5000.0,251.849990845,0,50.0,382.893109321
996,C09DA06,4,2006,382.600006104,4750.0,251.849990845,0,50.0,382.88667202
996,C09DA06,5,2006,382.600006104,4250.0,251.849990845,0,50.0,382.598733902
996,C09DA06,6,2006,382.600006104,5300.0,251.849990845,0,50.0,382.597899437
996,C09DA06,7,2006,382.600006104,3200.0,251.849990845,0,50.0,382.599997521
996,C09DA06,8,2006,382.600006104,4300.0,251.849990845,0,50.0,382.598519326
996,C09DA06,9,2006,382.600006104,3850.0,251.849990845,0,50.0,382.599997521
996,C09DA06,10,2006,382.600006104,4214.0,251.849990845,0,50.0,382.599997521
996,C09DA06,11,2006,382.600006104,4050.0,251.849990845,0,50.0,382.598686218
996,C09DA06,12,2006,382.600006104,6300.0,251.849990845,0,50.0,382.597184181
996,C09DA06,1,2007,382.600006104,3050.0,250.080001831,0,50.0,382.598304748
996,C09DA06,2,2007,382.600006104,2950.0,246.720001221,0,50.0,382.599997521
996,C09DA06,3,2007,383.811279297,3800.0,250.899993896,0,50.0,382.594370842
996,C09DA06,4,2007,399.799987793,3307.0,258.946655273,0,50.0,399.799990654
996,C09DA06,5,2007,399.799987793,4350.0,258.946655273,0,50.0,399.796199799
996,C09DA06,6,2007,399.799987793,3900.0,258.946655273,0,50.0,399.799990654
996,C09DA06,7,2007,399.799987793,3950.0,258.946655273,0,50.0,399.799990654
996,C09DA06,8,2007,399.799987793,4000.0,258.946655273,0,50.0,399.117803573
996,C09DA06,9,2007,399.799987793,4250.0,258.946655273,0,50.0,399.799990654
996,C09DA06,10,2007,399.799987793,6650.0,258.946655273,0,50.0,399.799990654
996,C09DA06,11,2007,399.799987793,5150.0,258.946655273,0,50.0,398.771572113
996,C09DA06,12,2007,399.799987793,7150.0,258.946655273,0,50.0,399.799990654
1153,G04CB01,6,2005,360.799987793,140.0,223.600006104,0,28.0,355.299987792
1153,G04CB01,7,2005,360.799987793,168.0,223.600006104,0,28.0,353.249980927
