date,phid,chain,storesize,sale,nobs,packages,market
2004-03-01,404,1,110.0,578910.42,1730,2095.0,16
2004-03-01,405,2,182.0,844333.47,1586,2192.0,51
2004-03-01,406,2,127.0,748198.09,1741,2195.872,24
2004-03-01,410,1,90.0,337401.09,730,948.0,58
2004-03-01,411,2,0.0,793145.75,1381,1925.0,112
2004-03-01,415,2,274.0,994496.79,2325,3061.0,66
2004-03-01,418,1,198.0,483417.99,998,1348.0,16
2004-03-01,421,3,117.0,643398.05,1207,1566.0,25
2004-03-01,422,2,150.0,998338.35,2134,2718.35,25
2004-03-01,423,3,95.0,1024872.62,2771,2680.179,25
2004-03-01,424,1,120.0,803468.83,1752,2266.0,25
2004-03-01,425,2,90.0,796822.1,1873,2339.99,77
2004-03-01,426,2,150.0,1078035.44,2470,3197.3,50
2004-03-01,428,2,182.0,848626.4,1978,2557.721,83
2004-03-01,431,2,76.0,575818.22,1421,1792.1,113
2004-03-01,432,1,61.0,601367.16,1520,1996.103,50
2004-03-01,437,2,120.0,1313797.13,2622,3587.0,20
2004-03-01,439,1,185.0,1169770.17,2456,3216.0,16
2004-03-01,440,1,107.0,911852.82,1906,2614.0,3
2004-03-01,443,1,219.0,1075563.47,2339,3084.333,6
2004-03-01,444,2,222.0,904508.43,2109,2806.645,50
2004-03-01,446,2,114.0,433383.6,1042,1365.0,50
2004-03-01,447,2,164.0,684588.69,1438,1859.886,50
2004-03-01,448,2,1065.0,328107.29,723,899.2,50
2004-03-01,449,3,63.0,587309.33,1569,1918.539,50
2004-03-01,451,2,163.0,695786.61,1423,1922.286,83
2004-03-01,454,1,100.0,1421359.32,2856,3871.916,56
2004-03-01,457,1,298.0,440714.42,1093,1391.686,6
2004-03-01,458,1,216.0,476767.41,983,1334.761,8
2004-03-01,459,2,192.0,531301.17,1107,1491.0,101
2004-03-01,460,2,0.0,253955.49,606,810.0,55
2004-03-01,461,1,115.0,1757449.84,3626,5323.2,3
2004-03-01,462,2,480.0,921694.58,2252,2952.486,6
2004-03-01,466,3,114.0,700915.23,1567,1973.0,16
2004-03-01,469,2,450.0,886001.05,1893,2718.972,6
2004-03-01,470,1,150.0,2516161.82,5589,7307.86,78
2004-03-01,472,1,111.0,369087.47,811,1090.0,114
2004-03-01,474,2,92.0,722044.63,1457,1953.0,21
2004-03-01,475,1,125.0,711370.81,1841,2314.0,3
2004-03-01,478,3,406.0,423245.16,1100,1342.5,24
2004-03-01,481,2,241.0,239392.88,615,747.0,25
2004-03-01,482,3,173.0,785145.03,1749,2420.322,3
2004-03-01,486,1,181.0,381408.48,786,950.0,115
2004-03-01,487,1,286.0,364951.18,871,1148.666,24
2004-03-01,491,1,77.0,261087.55,674,807.0,62
2004-03-01,493,3,136.0,242733.86,694,936.8,50
2004-04-01,1,1,450.0,1954582.89,4358,6098.0,0
